TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
VSTE3;5,98;;-72,94;0,66;0,42;63,27;3,98;-0,83;15,21;21,84;6,63;0,29;0,61;4,85;-0,59;1,41;-0,91;-0,57;3,28;0,63;0,37;0,69;3,10;;45.619,62;9,00;-0,08;0,39;683.716.381,14
VTRU3;8,70;0,28;;;;;;;;;;;;;;;;;;;;;;;2.568.386,67;;0,00;;329.608.695,90
VULC3;18,64;8,72;8,75;2,33;1,75;41,88;18,82;18,63;8,66;8,68;0,02;0,01;1,63;3,42;-5,82;3,74;26,62;20,02;22,84;0,75;0,25;1,07;17,52;32,63;9.697.337,00;8,01;2,13;0,50;5.135.995.588,16
VVEO3;1,10;;-0,24;0,19;0,04;11,32;-7,54;-12,95;-0,41;-3,77;-3,35;1,55;0,03;0,15;-0,08;1,85;-79,07;-15,77;-18,67;0,20;0,80;1,22;30,99;;529.662,76;5,79;-4,58;0,00;355.102.668,80
WEGE3;36,19;2,73;23,69;6,84;3,81;33,61;19,82;15,65;18,70;18,32;-0,38;-0,14;3,71;13,76;-10,45;1,77;28,86;16,09;25,60;0,56;0,42;1,03;23,27;31,76;396.067.845,29;5,29;1,53;2,36;151.900.938.347,62
WEST3;3,57;;-2,02;0,18;0,13;40,08;-19,65;-12,23;-1,26;1,92;3,18;-0,45;0,25;0,35;-0,31;2,91;-8,86;-6,55;-14,17;0,74;0,26;0,54;5,08;;12.054,00;19,94;-1,77;0,03;39.660.372,36
WHRL3;4,23;16,98;7,10;2,32;0,63;18,11;7,43;6,80;6,50;4,63;-1,80;-0,64;0,48;14,99;-2,03;1,07;32,67;8,90;17,85;0,27;0,73;1,31;10,80;-12,80;20.910,85;1,82;0,60;0,05;6.295.153.740,56
WHRL4;4,10;19,27;6,89;2,25;0,61;18,11;7,43;6,80;6,30;4,63;-1,80;-0,64;0,47;14,53;-1,97;1,07;32,67;8,90;17,85;0,27;0,73;1,31;10,80;-12,80;149.824,05;1,82;0,60;0,05;6.295.153.740,56
WIZC3;7,27;3,44;6,87;1,96;0,45;62,29;44,13;12,96;2,02;1,96;-0,06;-0,06;0,89;49,37;-0,61;1,04;28,54;6,62;23,88;0,23;0,53;0,51;13,02;-4,57;1.873.466,10;3,71;1,06;2,72;1.162.525.940,14
WLMM3;24,00;2,50;7,01;1,10;0,61;12,41;6,73;4,08;4,25;5,76;1,64;0,42;0,29;1,79;-1,50;2,36;15,69;8,74;8,24;0,56;0,44;2,14;23,58;20,16;25.140,00;21,82;3,42;1,13;846.171.250,00
WLMM4;22,60;2,92;6,60;1,04;0,58;12,41;6,73;4,08;4,01;5,76;1,64;0,42;0,27;1,69;-1,42;2,36;15,69;8,74;8,24;0,56;0,44;2,14;23,58;20,16;39.588,42;21,82;3,42;1,06;846.171.250,00
YDUQ3;12,26;4,65;10,52;1,08;0,34;60,89;17,03;5,94;3,67;8,52;4,85;1,43;0,63;5,26;-0,45;1,36;10,29;3,25;10,24;0,32;0,68;0,55;8,46;-13,14;43.231.674,95;11,32;1,17;0,10;3.360.329.313,26
ZAMP3;3,46;;-9,77;0,93;0,32;64,73;-0,03;-3,07;-898,53;-1.373,04;-474,51;0,49;0,30;11,60;-0,42;1,14;-9,48;-3,31;-1,66;0,35;0,65;1,08;9,70;;1.183.456,24;3,73;-0,35;-1,23;1.407.993.006,70
